Time	Sep	R	Theta	Phi
250	0	1.16617152376	0.540429225223	-0.523611479439
300	0	1.16617152376	0.540429225223	-0.523611479439
500	1	1.16619039124	0.540419517801	-3.14159265359
550	1	1.16640518477	0.540309031451	-2.96674672018
550	2	1.16629201744	0.540367236923	2.87963769487
600	1	1.16629201744	0.540367236923	-2.87963769487
600	2	1.16629201744	0.540367236923	2.87963769487
650	1	1.16629201744	0.540367236923	-2.87963769487
650	2	1.16629201744	0.540367236923	2.87963769487
700	1	1.16629201744	0.540367236923	-2.87963769487
700	3	1.16629201744	0.540367236923	2.87963769487
750	1	1.16629201744	0.540367236923	-2.87963769487
750	3	1.16629201744	0.540367236923	2.87963769487
800	3	1.16629201744	0.540367236923	2.87963769487
800	4	1.16601244077	0.540511089052	-3.0544644025
850	4	1.16619039124	0.540419517801	-3.14159265359
900	4	1.16601244077	0.540511089052	3.0544644025
950	4	1.16601244077	0.540511089052	3.0544644025
950	5	1.16643217949	0.540295149194	1.22185449186
1000	5	1.16640518477	0.540309031451	1.39595039339
1000	6	1.16601244077	0.540511089052	-3.0544644025
1050	5	1.16601244077	0.540511089052	1.48366807571
1050	6	1.16629201744	0.540367236923	-2.87963769487
1100	5	1.16601244077	0.540511089052	1.48366807571
1100	6	1.16629201744	0.540367236923	-2.87963769487
1150	6	1.16629201744	0.540367236923	-2.87963769487
1200	7	1.16601244077	0.540511089052	-3.0544644025
1250	7	1.16601244077	0.540511089052	-3.0544644025
1300	7	1.16601244077	0.540511089052	3.0544644025
1350	7	1.16619039124	0.540419517801	-3.14159265359
1400	7	1.16619039124	0.540419517801	-3.14159265359
1450	7	1.16619039124	0.540419517801	-3.14159265359
1500	7	1.16619039124	0.540419517801	-3.14159265359
1550	7	1.16619039124	0.540419517801	-3.14159265359
1600	7	1.16619039124	0.540419517801	-3.14159265359
1650	7	1.16619039124	0.540419517801	-3.14159265359
1650	8	1.16629201744	0.540367236923	2.87963769487
1700	8	1.16629201744	0.540367236923	2.87963769487
1700	9	1.16619039124	0.540419517801	-3.14159265359
1750	9	1.16619039124	0.540419517801	-3.14159265359
1850	10	1.16601244077	0.540511089052	-3.0544644025
1900	10	1.16601244077	0.540511089052	3.0544644025
1950	10	1.16619039124	0.540419517801	-3.14159265359
2000	10	1.16619039124	0.540419517801	-3.14159265359
2000	11	1.16629200421	0.540367243732	-0.611299356319
2050	11	1.16629200421	0.540367243732	-0.611299356319
2100	12	1.16619039124	0.540419517801	-3.14159265359
2150	12	1.16619039124	0.540419517801	-3.14159265359
2400	13	1.16601244077	0.540511089052	1.48366807571
2450	13	1.16601244077	0.540511089052	1.48366807571
2500	13	1.16601244077	0.540511089052	1.48366807571
2550	13	1.16601244077	0.540511089052	1.48366807571
2600	14	1.16640518477	0.540309031451	-2.96674672018
2650	14	1.16640518477	0.540309031451	-2.96674672018
2750	15	1.1660896484	0.54047135485	-0.436808417205
2800	15	1.1660896484	0.54047135485	-0.436808417205
2850	15	1.1660896484	0.54047135485	-0.436808417205
3100	16	1.16629200421	0.540367243732	-0.611299356319
3100	17	1.16617152376	0.540429225223	1.04718484736
3150	16	1.16629200421	0.540367243732	-0.611299356319
3150	17	1.16617152376	0.540429225223	1.04718484736
3150	18	1.16601244077	0.540511089052	1.48366807571
3200	18	1.16601244077	0.540511089052	1.48366807571
3250	18	1.16601244077	0.540511089052	1.48366807571
3250	19	1.16643217949	0.540295149194	1.22185449186
3250	20	1.1660896484	0.54047135485	-0.436808417205
3300	18	1.16629201744	0.540367236923	1.30884136808
3300	19	1.16643217949	0.540295149194	1.22185449186
3300	20	1.1660896484	0.54047135485	-0.436808417205
3350	18	1.16643217949	0.540295149194	1.22185449186
3350	21	1.16619039124	0.540419517801	1.57079632679
3350	22	1.16606092343	0.540486137166	0.785398163397
3400	18	1.16643217949	0.540295149194	1.22185449186
3400	21	1.16601244077	0.540511089052	1.48366807571
3400	22	1.16606092343	0.540486137166	0.785398163397
3450	21	1.16601244077	0.540511089052	1.48366807571
3950	23	1.16629200421	0.540367243732	-0.611299356319
